word,verdict,action,reason
assistant,fail,regenerate,"Primary still favored loanword in latest canary even though general helper sense has natural Urdu معاون/مددگار."
doctor,partial,regenerate,"Medical sense is acceptable, but common academic title and verb senses are missing."
charge,fail,regenerate,"Only fee/charging coverage; legal accusation, responsibility, attack, and electric charge senses are missing."
stock,partial,regenerate,"Inventory sense improved, but finance shares, broth, lineage, and adjective/verb uses need review."
post,fail,regenerate,"Raw model output mismatched UI field and omitted online post, mail noun, and pole/stake senses."
course,fail,regenerate,"Collapsed into class/course only; direction, sequence, action path, and meal-part senses are missing."
bank,partial,regenerate,"Financial institution is acceptable, but river bank and verb senses are missing."
line,partial,regenerate,"Some coverage exists, but queue, row of text, phone/route, product line, and verb senses need review."
number,pass,keep,"Primary عدد is good; نمبر is available as alternative."
data,pass,keep,"ڈیٹا is normal Urdu usage for the main technical sense."
school,pass,keep,"اسکول is normal Urdu usage, with تعلیمی ادارہ/مدرسہ alternatives."
phone,pass,keep,"فون is normal Urdu usage."
computer,pass,keep,"کمپیوٹر is normal Urdu usage."
account,pass,keep,"Primary کھاتہ is good, with اکاؤنٹ as alternative."
seat,partial,regenerate,"Main sitting/place senses are present, but official seat/constituency and verb senses need review."
mail,fail,regenerate,"Only one broad sense and one bad alternative appeared; email/postal senses should be separated."
sales,pass,keep,"Primary فروخت is better than loanword سیلز."
technology,pass,keep,"ٹیکنالوجی is normal Urdu usage, with semantic alternatives."
program,partial,regenerate,"Plan/software senses are present, but event/broadcast/programming distinctions need review."
brush,partial,regenerate,"Object sense is present, but verb and brief encounter senses are missing."
